record_id,customer,region,category,amount,quantity,status,notes
R001,Customer 01,North,Retail,1037.00,3,ACTIVE,Order batch 01
R002,Customer 02,South,Wholesale,1074.00,4,INACTIVE,Order batch 02
R003,Customer 03,East,Services,1111.00,5,PENDING,Order batch 03
R004,Customer 04,West,Online,1148.00,6,ACTIVE,Order batch 04
R005,Customer 05,North,Partner,1185.00,7,INACTIVE,Order batch 05
R006,Customer 06,South,Retail,1222.00,8,PENDING,Order batch 06
R007,Customer 07,East,Wholesale,1259.00,9,ACTIVE,Order batch 07
R008,Customer 08,West,Services,1296.00,2,INACTIVE,Order batch 08
R009,Customer 09,North,Online,1333.00,3,PENDING,Order batch 09
R010,Customer 10,South,Partner,1370.00,4,ACTIVE,Order batch 10
R011,Customer 11,East,Retail,1407.00,5,INACTIVE,Order batch 11
R012,Customer 12,West,Wholesale,1444.00,6,PENDING,Order batch 12
R013,Customer 13,North,Services,1481.00,7,ACTIVE,Order batch 13
R014,Customer 14,South,Online,1518.00,8,INACTIVE,Order batch 14
R015,Customer 15,East,Partner,1555.00,9,PENDING,Order batch 15
R016,Customer 16,West,Retail,1592.00,2,ACTIVE,Order batch 16
R017,Customer 17,North,Wholesale,1629.00,3,INACTIVE,Order batch 17
R018,Customer 18,South,Services,1666.00,4,PENDING,Order batch 18
R019,Customer 19,East,Online,1703.00,5,ACTIVE,Order batch 19
R020,Customer 20,West,Partner,1740.00,6,INACTIVE,Order batch 20
R021,Customer 21,North,Retail,1777.00,7,PENDING,Order batch 21
R022,Customer 22,South,Wholesale,1814.00,8,ACTIVE,Order batch 22
R023,Customer 23,East,Services,1851.00,9,INACTIVE,Order batch 23
R024,Customer 24,West,Online,1888.00,2,PENDING,Order batch 24
R025,Customer 25,North,Partner,1925.00,3,ACTIVE,Order batch 25
R026,Customer 26,South,Retail,1962.00,4,INACTIVE,Order batch 26
R027,Customer 27,East,Wholesale,1999.00,5,PENDING,Order batch 27
R028,Customer 28,West,Services,2036.00,6,ACTIVE,Order batch 28
R029,Customer 29,North,Online,2073.00,7,INACTIVE,Order batch 29
R030,Customer 30,South,Partner,2110.00,8,PENDING,Order batch 30
