record_id,customer,region,category,amount,quantity,status,remarks
R028,Customer 28,West,Services,2036.00,6,ACTIVE,Order batch 28
R016,Customer 16,West,Retail,1592.00,2,ACTIVE,Order batch 16
R024,Customer XX,West,Online,1888.00,2,PENDING,Replacement order 24
R018,Customer 18,South,Services,1666.00,4,PENDING,Order batch 18 
R009,Customer 09,North,Online,1333.00,3,PENDING,Order batch 09
R010,Customer 10,South,Partner,1370.00,99,ACTIVE,Order batch 10
R029,Customer 29,North,Online,2073.00,7,INACTIVE,Order batch 29
R025,Customer 25,North,Partner,1925.00,3,ACTIVE,Order batch 25
R013,Customer 13,North,Services,1481.00,7,ACTIVE,Order batch 13
R001,Customer 01,North,Retail,1037.00,3,ACTIVE,Order batch 01
R005,Customer 05,North,Partner,1185.00,7,INACTIVE,Order batch 05
R017,Customer 17,North,Wholesale,1629.00,3,INACTIVE,Order batch 17
R006,Customer 06,South,Retail,1222.00,8,PENDING,Order batch 06
R014,Customer 14,South,Online,1518.00,8,INACTIVE,Order batch 14
R012,Customer 12,West,Wholesale,1444.00,6,INACTIVE,Order batch 12
R023,Customer 23,East,Services,1851.00,9,INACTIVE,Order batch 23
R002,Customer 02,South,Wholesale,1074.00,4,INACTIVE,Order batch 02
R003,Customer 03,East,Services,1200.00,5,PENDING,Order batch 03
R026,Customer 26,South,Retail,1962.00,4,INACTIVE,Order batch 26
R004,Customer 04,West,Online,1148.00,6,ACTIVE,Order batch 04
R022,Customer 22,South,Wholesale,1700.00,8,ACTIVE,Order batch 22
R027,Customer 27,East,Wholesale,1999.00,5,PENDING,Order batch 27
R019,Customer 19,East,Online,1703.00,5,ACTIVE,Order batch 19
R030,Customer 30,South,Partner,2110.00,8,PENDING,Order batch 30
R021,Customer 21,North,Retail,1777.00,7,PENDING,Order batch 21
R008,Customer 08,West,Services,1296.00,2,INACTIVE,Order batch 08
R011,Customer 11,East,Retail,1407.00,5,INACTIVE,Order batch 11
R015,Customer 15,East,Retail,1555.00,9,PENDING,Order batch 15
R020,Customer 20,West,Partner,1740.00,6,INACTIVE,Order batch 20
R007,Customer 07,East,Wholesale,1459.00,9,ACTIVE,Order batch 07
